energy_kev,sp3_target,frame_index,step,time_ps,n_atoms,density_atoms_A3,sp_percent,sp2_percent,sp3_percent,defect_percent,mean_coord,elastic_modulus_rel,mean_pe_eV,total_pe_eV,mean_ke_eV,total_ke_eV,max_ke_atom_eV,threshold_cumulative_A,n_displaced_cumulative,max_dr_cumulative_A,mean_dr_cumulative_A,n_displaced_incremental,max_dr_incremental_A
10,40,84,8040,8.040000,473344,0.135644,3.666467,57.419551,38.913982,0.000000,3.352475,0.287979,-6.589571,-3119133.734540,0.041440,19615.180566,0.427762,4.162154,19,42.246729,10.012981,0,1.062636
10,40,85,8160,8.160000,473344,0.135644,3.654425,57.469620,38.875744,0.000211,3.352209,0.287786,-6.589729,-3119208.854560,0.041470,19629.564357,0.804355,4.162154,18,42.252836,10.315766,0,0.875939
10,40,86,8280,8.280000,473344,0.135644,3.671748,57.446170,38.882082,0.000000,3.352103,0.287709,-6.589828,-3119255.528150,0.041469,19628.929919,0.659179,4.162154,19,42.276931,10.000854,4,1.175410
10,40,87,8400,8.400000,473344,0.135644,3.665833,57.426100,38.907856,0.000211,3.352416,0.287936,-6.589830,-3119256.257790,0.041435,19613.108263,0.443460,4.162154,19,42.216007,10.019100,0,0.844013
10,40,88,8520,8.520000,473344,0.135644,3.662664,57.438776,38.898349,0.000211,3.352353,0.287890,-6.589925,-3119301.439140,0.041440,19615.550261,0.539981,4.162154,17,42.202251,10.655605,1,1.491511
10,40,89,9000,9.000000,473344,0.135644,3.654425,57.462860,38.882504,0.000211,3.352277,0.287835,-6.590085,-3119377.153330,0.041475,19631.825123,0.493899,4.162154,19,42.258441,9.992487,0,1.030461
10,40,90,9120,9.120000,473344,0.135644,3.651256,57.385749,38.962995,0.000000,3.353117,0.288445,-6.590035,-3119353.684560,0.041344,19570.101535,0.706555,4.162154,19,42.237928,9.969628,0,0.843383
10,40,91,9240,9.240000,473344,0.135644,3.662875,57.428847,38.908278,0.000000,3.352454,0.287964,-6.590134,-3119400.587300,0.041410,19601.359280,0.449256,4.162154,18,42.189306,10.321394,0,0.778798
10,40,92,9480,9.480000,473344,0.135644,3.647242,57.429692,38.923067,0.000000,3.352758,0.288184,-6.590220,-3119440.894050,0.041376,19585.014300,0.751452,4.162154,18,42.160327,10.309684,0,0.923047
10,40,93,9600,9.600000,473344,0.135644,3.658016,57.381101,38.960883,0.000000,3.353029,0.288381,-6.590248,-3119454.480540,0.041302,19550.222343,0.505921,3.970669,20,42.275576,9.730003,0,0.990091
10,40,94,9720,9.720000,473344,0.135644,3.665622,57.408988,38.925390,0.000000,3.352598,0.288068,-6.590296,-3119477.040670,0.041266,19533.028683,1.067440,4.162154,18,42.281759,10.310231,0,0.955510
10,40,95,9840,9.840000,473344,0.135644,3.649354,57.389552,38.961094,0.000000,3.353117,0.288445,-6.590395,-3119523.957150,0.041337,19566.643646,0.430160,4.162154,19,42.198601,9.997020,0,0.997895
