k_invA,S_k
16.23046092,0.95282134
16.27014028,0.95338423
16.30981964,0.95406142
16.34949900,0.95486300
16.38917836,0.95579960
16.42885772,0.95688195
16.46853707,0.95812037
16.50821643,0.95952415
16.54789579,0.96110103
16.58757515,0.96285665
16.62725451,0.96479407
16.66693387,0.96691340
16.70661323,0.96921156
16.74629259,0.97168209
16.78597194,0.97431519
16.82565130,0.97709786
16.86533066,0.98001415
16.90501002,0.98304563
16.94468938,0.98617184
16.98436874,0.98937091
17.02404810,0.99262020
17.06372745,0.99589700
17.10340681,0.99917911
17.14308617,1.00244554
17.18276553,1.00567696
17.22244489,1.00885621
17.26212425,1.01196857
17.30180361,1.01500196
17.34148297,1.01794701
17.38116232,1.02079693
17.42084168,1.02354731
17.46052104,1.02619579
17.50020040,1.02874163
17.53987976,1.03118521
17.57955912,1.03352749
17.61923848,1.03576950
17.65891784,1.03791178
17.69859719,1.03995395
17.73827655,1.04189431
17.77795591,1.04372953
17.81763527,1.04545451
17.85731463,1.04706231
17.89699399,1.04854420
17.93667335,1.04988992
17.97635271,1.05108790
18.01603206,1.05212570
18.05571142,1.05299049
18.09539078,1.05366953
18.13507014,1.05415070
18.17474950,1.05442302
18.21442886,1.05447717
18.25410822,1.05430585
18.29378758,1.05390414
18.33346693,1.05326976
18.37314629,1.05240319
18.41282565,1.05130766
18.45250501,1.04998910
18.49218437,1.04845593
18.53186373,1.04671878
18.57154309,1.04479012
18.61122244,1.04268389
18.65090180,1.04041504
18.69058116,1.03799914
18.73026052,1.03545193
18.76993988,1.03278897
18.80961924,1.03002534
18.84929860,1.02717542
18.88897796,1.02425272
18.92865731,1.02126988
18.96833667,1.01823862
19.00801603,1.01516990
19.04769539,1.01207412
19.08737475,1.00896128
19.12705411,1.00584130
19.16673347,1.00272425
19.20641283,0.99962062
19.24609218,0.99654156
19.28577154,0.99349902
19.32545090,0.99050590
19.36513026,0.98757601
19.40480962,0.98472411
19.44448898,0.98196567
19.48416834,0.97931670
19.52384770,0.97679341
19.56352705,0.97441188
19.60320641,0.97218765
19.64288577,0.97013524
19.68256513,0.96826780
19.72224449,0.96659663
19.76192385,0.96513086
19.80160321,0.96387715
19.84128257,0.96283946
19.88096192,0.96201893
19.92064128,0.96141385
19.96032064,0.96101977
20.00000000,0.96082969
